Bibtex Key	Title	Year	URL	Descartado? (S/N) Marcar critério no parsifal	Qual o método de avaliação utilizado (simulação, modelagem analitica, aferição)?	A aplicação está disponível? Open source? Link	Quais as aplicações utilizadas nos testes realizados? Usou alguma benchmarking tool?	Quais as categorias de aplicações (ImageTools, Math, Streaming)?	Usou algum testbed? Real ou virtual?	Quais e quantos dispositivos foram utilizados?	Qual arquitetura utilizada (Single ou multi-cloudlet, Nuvem, D2D, Híbrido, Edge)?	Quais as métrica de avaliação foram adotadas (tempo, energia)?
AbdElhalim2019	Distributed Fog-to-Cloud computing system: A minority game approach	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061315679&doi=10.1002%2fcpe.5162&partnerID=40&md5=e54a71adc97c9f5b50d4a79637e12c6a	Sim								
Zhang20191450	Collaborative Task Offloading with Computation Result Reusing for Mobile Edge Computing	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074072716&doi=10.1093%2fcomjnl%2fbxz027&partnerID=40&md5=42a13f399e5c06be1aa5a2430418f867	Sim								
Li2019221	Offloading and system resource allocation optimization in TDMA based wireless powered mobile edge computing	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069692931&doi=10.1016%2fj.sysarc.2019.07.009&partnerID=40&md5=f85b272ea26b8772e7b8a123c385b1c3	Sim								
Thananjeyan2019613	Optimum selection of mobile edge computing hosts based on extended balas-geoffrion additive algorithm	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076813974&doi=10.1109%2f5GWF.2019.8911654&partnerID=40&md5=b33888b7228cb2a3ffe3db5d585d206d	Sim								
Liu2019	Edge assisted real-time object detection for mobile augmented reality	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068215125&doi=10.1145%2f3300061.3300116&partnerID=40&md5=378a5bba9eb60657d4450fe93e93a968	Sim								
Odun-Ayo2019797	A systematic mapping study of mobile and energy-efficient use of cloud	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071269591&doi=10.24507%2ficicelb.10.09.797&partnerID=40&md5=fd0808e00b31d43e642e9fbed188652e	Sim								
Lim2019	Energy-efficient computing for wireless powered mobile edge computing systems	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075250323&doi=10.1109%2fVTCFall.2019.8891235&partnerID=40&md5=8acd490ef63034af702aa7214a5531e8	Sim								
Jiang20193022	Adaptive Scheduling of Stochastic Task Sequence for Energy-Efficient Mobile Cloud Computing	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071363947&doi=10.1109%2fJSYST.2019.2922436&partnerID=40&md5=fe38a31654e0bbff3cdfdff8301e3374	Sim								
Su2019	Computation offloading with online matching algorithm in mobile edge computing networks	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075230805&doi=10.1109%2fVTCFall.2019.8891370&partnerID=40&md5=9907263df1b8ebb61c5791a337761754	Sim								
NoAuthor2019177	Minimizing energy consumption of image data offloading in mobile cloud computing application	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073420961&partnerID=40&md5=3bd44b24d8905ea9c6245c6afc0b917f	Sim								
Han20196153	Offloading Optimization and Bottleneck Analysis for Mobile Cloud Computing	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077441014&doi=10.1109%2fTCOMM.2019.2920348&partnerID=40&md5=76b733a75fa78f054761a3a0041372e6	Sim								
Shang2019199	Computation Offloading Management in Vehicular Edge Network under Imperfect CSI	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078941657&doi=10.1109%2fICICSP48821.2019.8958488&partnerID=40&md5=05c2963eaaeec1827037affceec268ec	Sim								
Li2019193	Radio and computing resource allocation with energy harvesting devices in mobile edge computing environment	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068514433&doi=10.1016%2fj.comcom.2019.06.001&partnerID=40&md5=ff7a207924ba20afd5f95a0627f3a442	Sim								
Zhang2019	Mobility management for ultra-dense edge computing: A reinforcement learning approach	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075255396&doi=10.1109%2fVTCFall.2019.8891330&partnerID=40&md5=054aad6db4f9c6b84c3bca2eba6beecc	Sim								
Lv2019	Joint computation offloading and resource configuration in ultra-dense edge computing networks: A deep reinforcement learning solution	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075247656&doi=10.1109%2fVTCFall.2019.8891384&partnerID=40&md5=10e4d3ed63cc22b9bb71619c2af882e5	Sim								
Akin2019	SWIPT-based Mobile Edge Computing Systems: A Stochastic Geometry Perspective	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075879172&doi=10.1109%2fPIMRC.2019.8904282&partnerID=40&md5=4f48e531756b9ea188143ba8bab17559	Sim								
Wang2019339	Computation tasks offloading scheme based on multi-cloudlet collaboration for edge computing	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076883176&doi=10.1109%2fCBD.2019.00067&partnerID=40&md5=a44d67502de7b97f72d2310eba2b19d7	Sim								
Huang2019	Fine-grained task offloading for UAV via MEC-enabled networks	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074951356&doi=10.1109%2fPIMRCW.2019.8880836&partnerID=40&md5=aae72bb4941f79e7b8bb20a57452a11c	Sim								
Long2019	Delay optimized computation offloading and resource allocation for mobile edge computing	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075229867&doi=10.1109%2fVTCFall.2019.8891166&partnerID=40&md5=5c40ecb119eefd169db5e353bd49e054	Sim								
Liang20194298	Multiuser Computation Offloading and Downloading for Edge Computing With Virtualization	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072158965&doi=10.1109%2fTWC.2019.2922613&partnerID=40&md5=f2dc0f5210c3d599fb6d812f915c07c3	Sim								
Chouhan2019	Energy optimal partial computation offloading framework for mobile devices in multi-access edge computing	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075856162&doi=10.23919%2fSOFTCOM.2019.8903763&partnerID=40&md5=da8c140bf1ea179e7ff4a0109ca21a21	Sim								
Cheng2019	A delay-aware edge computing and power control scheme in NOMA-enabled cognitive radio networks	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075244985&doi=10.1109%2fVTCFall.2019.8891445&partnerID=40&md5=cc56c1b4591e4daa952289188aef71ad	Sim								
Singh2019246	Intensive energy aware mobile computational offloading using machine learning strategies	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074353325&doi=10.35940%2fijitee.K1056.09811S219&partnerID=40&md5=9803a3ad4d863b3ba5c84d8bb6f648b1	?????								
Zhou2019333	Task offloading for social sensing applications in mobile edge computing	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076926294&doi=10.1109%2fCBD.2019.00066&partnerID=40&md5=a0653570095f06a4a412830abfde16a8	Não (Não usa apps)	Simulação	-	-	-	Sim, virtual	200 edge devices, 20 edge servers	Edge	Average Latency, Cost and Hit Ratio of tasks
Misra20192978	Auction-Based Optimal Task Offloading in Mobile Cloud Computing	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071617216&doi=10.1109%2fJSYST.2019.2898903&partnerID=40&md5=ba944629e91d09627034c08be1265315	Não	Simulação/Aferição	Não	App that read integers in a file, sort them, and save the sorted list in another file	Math	Sim, real	2 mobile devices, 2 cloudlets, 1 cloud server	Cloudlet, Cloud	Execution time, Energy consumption, time for offloading
Rodrigues2019	Hyperparameter study of machine learning solutions for the edge server deployment problem	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075242937&doi=10.1109%2fVTCFall.2019.8891500&partnerID=40&md5=6d052821d8cc7c9bd1c101da532c24a3	Sim								
Chen2019726	Multi-User Multi-Task Computation Offloading in Green Mobile Edge Cloud Computing	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045631588&doi=10.1109%2fTSC.2018.2826544&partnerID=40&md5=f33ef8e500e622a65bad6e0aa64d8855	Sim								
Cañete2019	Energy efficient assignment and deployment of tasks in structurally variable infrastructures	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076034856&doi=10.1145%2f3307630.3342704&partnerID=40&md5=d4c9c5d49465be5bb329c17f14da8f6c	Sim								
Moussa2019217	Task offloading strategies based on workload balancing in ultra-dense networks	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077203525&doi=10.1145%2f3338840.3355665&partnerID=40&md5=7513af132b0aecc8c60c087cac999402	Sim								
Gakpo2019189	Moving intelligence of mobile edge computing to maritime network	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077215349&doi=10.114-5%2f3338840.3355647&partnerID=40&md5=3d4c7455518082950f07d10c3e104cab	Sim								
Liu20194329	A constrained multi-objective computation offloading algorithm in the mobile cloud computing environment	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076251324&doi=10.3837%2ftiis.2019.09.001&partnerID=40&md5=d5afdc06f969a81b0976b2038ebd0dfe	Sim								
Asheralieva20198753	Hierarchical Game-Theoretic and Reinforcement Learning Framework for Computational Offloading in UAV-Enabled Mobile Edge Computing Networks with Multiple Service Providers	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073447712&doi=10.1109%2fJIOT.2019.2923702&partnerID=40&md5=80d654e20be6dbdc131f85b9a88fd5bc	Sim								
Shanthi20192589	Secured and dynamic decentralized computational offloading framework for mobile cloud computing	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073382242&doi=10.35940%2fijitee.K1876.0981119&partnerID=40&md5=830532fb45479bab048190a7675e34ff	Sim								
Qian20191312	User association and path planning for UAV-Aided mobile edge computing with energy restriction	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073696031&doi=10.1109%2fLWC.2019.2913843&partnerID=40&md5=152bf23509bb01dd2572fc4b86018486	Sim								
Salmerón-García2019535	Towards a cloud-based automated surveillance system using wireless technologies	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021827190&doi=10.1007%2fs00530-017-0558-5&partnerID=40&md5=4aa3d6a5fca8b88dedfea5cdf56414b6	Sim								
Dong20194692	Deep Learning for Hybrid 5G Services in Mobile Edge Computing Systems: Learn from a Digital Twin	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077264316&doi=10.1109%2fTWC.2019.2927312&partnerID=40&md5=206d3f4807708da2e518b64cb1f426c7	Sim								
Chanyour2019	Multi-policy Aware Offloading with Per-task Delay for Mobile Edge Computing Networks	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078159308&doi=10.1109%2fWINCOM47513.2019.8942438&partnerID=40&md5=cf7eca290b14e1656f5b7166067d0fcd	Não (Não usa apps)	Simulação	-	-	-	Sim, virtual	10-100 mobile devices	Edge	Tempo de execução
Mahmood20191991	Mobile cloud based-framework for sports applications	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062767343&doi=10.1007%2fs11045-019-00639-6&partnerID=40&md5=4051937ee431399af3fe132c73f88526	Não	Aferição	Não	App para identificar jogadores de cricket		Sim, real	1 smartphone, 1 cloudlet, 1 cloud server	Cloud/Cloudlet	Tempo de execução, energia
Jin2019902	Computation Offloading and Resource Allocation for MEC in C-RAN: A Deep Reinforcement Learning Approach	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078093330&doi=10.1109%2fICCT46805.2019.8947070&partnerID=40&md5=0fa88bc03ab4d138f8374c2e351b2e50	Sim								
Zhao2019346	Deep learning based mobile data offloading in mobile edge computing systems	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065250877&doi=10.1016%2fj.future.2019.04.039&partnerID=40&md5=1b6b988b00d2df4a03d697c4ae5bc7f4	Sim								
Gaballo2019	ADELE: An Architecture for Steering Traffic and Computations via Deep Learning in Challenged Edge Networks	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075390359&doi=10.1109%2fCCCS.2019.8888120&partnerID=40&md5=c50f0b7cfcd4423e84def7b0b90bf004	Sim								
Liu2019	Optimal Offloading Strategy in NOMA-Assisted Mobile Edge Computing	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077767232&doi=10.1109%2fWCSP.2019.8927909&partnerID=40&md5=6cf80eccddd3d81692c8acce21d2f4c2	Sim								
Huang2019860	Joint Pilot and Data Transmission Power Control and Computing Resource Allocation for the Massive MIMO Based MEC Network	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078135529&doi=10.1109%2fICCT46805.2019.8947172&partnerID=40&md5=69feffb89bec78ed3fa6c07ab2623020	Sim								
Gao20197864	Dynamic Social-Aware Computation Offloading for Low-Latency Communications in IoT	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073479400&doi=10.1109%2fJIOT.2019.2909299&partnerID=40&md5=6df175312fbc46d0276579e955783dfb	Não (Não usa apps)	Simulação	-	-	-	Não detalha	40 mobile devices	D2D, Cloud, Edge	
Hu2019	Task Offloading Based on Lyapunov Optimization for MEC-assisted Platooning	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077770995&doi=10.1109%2fWCSP.2019.8928035&partnerID=40&md5=d6bc273b641fc326d926c45877ef2d17	Sim								
Xie2019	Machine Learning Based Task Scheduling for Wireless Powered Mobile Edge Computing IoT Networks	2019	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077778828&doi=10.1109%2fWCSP.2019.8928109&partnerID=40&md5=cf4c3e171c91d5472476a5bc82e310e6	Sim								
Lewis201651	A decision model for cyber-foraging systems	2016	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983296833&doi=10.1109%2fWICSA.2016.38&partnerID=40&md5=8b5fbef86490f83cb481145f784afb12	Sim								
Cheng2016	Computation offloading in cloud-RAN based mobile cloud computing system	2016	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981320715&doi=10.1109%2fICC.2016.7511367&partnerID=40&md5=3eeaf033e0605aa031a58b5ed715936c	Sim								
Gao20181479	Data offloading for deadline-varying tasks in mobile edge computing	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060283505&doi=10.1109%2fSmartWorld.2018.00256&partnerID=40&md5=a0fe370be695d4d576fac1abe7f1ea40	Sim								
Zhao2018671	QoE aware and cell capacity enhanced computation offloading for multi-server mobile edge computing systems with energy harvesting devices	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060308824&doi=10.1109%2fSmartWorld.2018.00133&partnerID=40&md5=ece736e4038895d285a1c26cdf213628	Sim								
Pan2018977	Fine-grained task-dependency offloading in mobile cloud computing	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060273202&doi=10.1109%2fSmartWorld.2018.00173&partnerID=40&md5=83c071802ae5e346fc92b52bbb36220e	Sim								
ShanthiThangam2018547	Data-intensive computation offloading using fog and cloud computing for mobile devices applications	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069229934&doi=10.1109%2fICSSIT.2018.8748812&partnerID=40&md5=cd73c67922c3a8c6dcf1f4fedaa44370	Sim								
ShaliniLakshmi2018136	LI-RMLO: Loop iteration based runtime method level offloading for mobile applications	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069209412&doi=10.1109%2fICSSIT.2018.8748500&partnerID=40&md5=e1f8071a864aa219e5ef160faa7e4c2a	Sim								
Li2018705	Joint computation offloading and wireless resource allocation in mobile edge computing	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070831376&doi=10.1109%2fCompComm.2018.8780694&partnerID=40&md5=5bbe6b59d300fa065d9dea96a4b76094	Sim								
Sajnani2018658	Latency aware optimal workload assignment in mobile edge cloud offloading network	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070807913&doi=10.1109%2fCompComm.2018.8780954&partnerID=40&md5=7c7497cea19a10a6570feffe7fffcfe5	Sim								
Li20181929	Minimum completion time offloading algorithm for mobile edge computing	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070827853&doi=10.1109%2fCompComm.2018.8780584&partnerID=40&md5=60ab3c6ca07e9e4e8a336a07c5532160	Sim								
Dinh20186353	Learning for computation offloading in mobile edge computing	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052683091&doi=10.1109%2fTCOMM.2018.2866572&partnerID=40&md5=25ebbc6b3ca9fa52c3c1d4796e7440f3	Não	Simulação	Não	Gzip, pdf2text, z264 CBR encode, html2text	Utilities	Não detalha	17 mobile devices, 10 edge servers	multi-edge	
Dai201812313	Joint Computation Offloading and User Association in Multi-Task Mobile Edge Computing	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055032737&doi=10.1109%2fTVT.2018.2876804&partnerID=40&md5=ecc037fbb0a6e485001507f473e53b48	Não	Simulação	Não	Augumented reality application	 Augumented reality	Não detalha	40 mobile devices	Energy consumption	
Thananjeyan2018	Energy-Efficient Mobile Edge Hosts for Mobile Edge Computing System	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076813474&doi=10.1109%2fICIAFS.2018.8913354&partnerID=40&md5=c2023b5addec009a733644c41ee9c3ff	Sim								
Kumar20183693	Demand-Based Computation Offloading Framework for Mobile Devices	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020740552&doi=10.1109%2fJSYST.2017.2706178&partnerID=40&md5=a32141d3356c881636e8e8ab403220b9	Não	Aferição	Não	Bubble sort application	Math	Sim, real	1 mobile device, 2 VMs	Execution time, energy consumption	
Zhang2018415	Joint resource allocation scheme based on evolutionary game for mobile edge computing [移动边缘云计算中基于演进博弈的联合资源分配算法]	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062871340&doi=10.3969%2fj.issn.1003-7985.2018.04.001&partnerID=40&md5=3998a63f652a540945d9aa3e08bb15ce	Sim								
Yang20182762	A distributed computation offloading strategy in small-cell networks integrated with mobile edge computing	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056149630&doi=10.1109%2fTNET.2018.2876941&partnerID=40&md5=a7f9f2a03eb192898f5e4f3fbcf86c9d	Não	Simulação	Não	-	-	Não detalha	50 mobile devices, 5 edge servers	Overhead of the system	
Ding20181875	Delay Minimization for NOMA-MEC Offloading	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055054681&doi=10.1109%2fLSP.2018.2876019&partnerID=40&md5=12d5456c67b04409b9b321a9dc28ddda	Sim								
Liu20181560	Scalable Traffic Management for Mobile Cloud Services in 5G Networks	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052691334&doi=10.1109%2fTNSM.2018.2867019&partnerID=40&md5=69e0d169e4b4a2a3dd5ac122025d055d	Sim								
Zhang2018794	Resource allocation for multi-user MEC system: Machine learning approaches	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078530963&doi=10.1109%2fCSCI46756.2018.00159&partnerID=40&md5=312bcabef185b9166e5392c5ddc1e66c	Sim								
Wu201812244	Noma-assisted multi-access mobile edge computing: A joint optimization of computation offloading and time allocation	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054690074&doi=10.1109%2fTVT.2018.2875337&partnerID=40&md5=5ef3e950a7bc33933f451b0821a19841	Sim								
Guo20182651	An efficient computation offloading management scheme in the densely deployed small cell networks with mobile edge computing	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055045721&doi=10.1109%2fTNET.2018.2873002&partnerID=40&md5=5fef789c62ff0d912858dc412e0957bd	Sim				 				
Yu2018722	DMPO: Dynamic mobility-aware partial offloading in mobile edge computing	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050608130&doi=10.1016%2fj.future.2018.07.032&partnerID=40&md5=d651661be5205cb0dd66523d8936d397	Não	Simulação	-	-	-	Não detalha	10 users	edge	delay, energy
Cheny2018	Joint Computation Offloading and Radio Resource Allocations in Wireless Cellular Networks	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059951737&doi=10.1109%2fWCSP.2018.8555588&partnerID=40&md5=b965f5f17489b8e9caafab7abd9f9b8c	Não	Simulação	-	-	-	Não detalha	10 users, 10 cloudlets	edge	energy consumption
Akbar2018262	Self-adaptive and self-aware mobile-cloud hybrid robotics	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059981727&doi=10.1109%2fIoTSMS.2018.8554735&partnerID=40&md5=60d8c1043c1257f1c0f37e8b6fcfc819	Sim								
Liu2018	Computation Offloading Scheme to Improve QoE in Vehicular Networks with Mobile Edge Computing	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059953059&doi=10.1109%2fWCSP.2018.8555879&partnerID=40&md5=d7d0c258d82abfedc0fdb00fa26ed97c	Sim								
Zhou2018	Joint optimization of Offloading and Resource Allocation in Vehicular Networks with Mobile Edge Computing	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059965488&doi=10.1109%2fWCSP.2018.8555636&partnerID=40&md5=f2c923e9d8a27911fcbae4933c2d6f69	Sim								
Zhang2018	Analyzing Hit Probability of Spatial Correlated Caching for Heterogeneous Mobile Edge Computing	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059966930&doi=10.1109%2fWCSP.2018.8555944&partnerID=40&md5=2289a84c0be71bdb1102215dc395fe74	Sim								
Zhang2018	MEC Architectures in 4G and 5G Mobile Networks	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059945707&doi=10.1109%2fWCSP.2018.8555652&partnerID=40&md5=51e0220fbf3dfbf5fc2356fb818252de	Sim								
Shan2018248	A Survey on Computation Offloading for Mobile Edge Computing Information	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059742880&doi=10.1109%2fBDS%2fHPSC%2fIDS18.2018.00060&partnerID=40&md5=dc6c345b37fc5bdacb6142a1ecc23a8d	Sim								
Lu2018	COFRD: A Code Offloading Framework for Rapid Deployment of Android Applications	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060208373&doi=10.1109%2fCloudNet.2018.8549381&partnerID=40&md5=30dd822b50653bc0d4d787cfb6840598	Não	Aferição	Não apresenta o link	OCR, Image Filter, Chess, Queen, Linpack, Sudoku	Image tools, math, game	Sim, virtual	1 Android VM, 1 cloudlet	Single-cloudlet	Execution time, energy consumption
Balasubramanian2018	Exploring Computing at the Edge: A Multi-Interface System Architecture Enabled Mobile Device Cloud	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060248641&doi=10.1109%2fCloudNet.2018.8549296&partnerID=40&md5=4e155def0f4faf848556956623c712a9	Sim								
Zhou2018372	Service Deployment for Latency Sensitive Applications in Mobile Edge Computing	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058381928&doi=10.1109%2fCBD.2018.00073&partnerID=40&md5=d98845af6f9f005c68866c243e47c52e	Sim								
Zhao201830	The Virtual Machine Placement Algorithm Based on Equivalent Resource Model in the Offloading Data Center of Mobile Cloud Environment	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058391872&doi=10.1109%2fCBD.2018.00015&partnerID=40&md5=21aa758e03b857eec7ce41131310f5ca	Sim								
Aliyu2018	Mobile cloud computing: Layered architecture	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058175658&doi=10.1109%2fICT-ISPC.2018.8523997&partnerID=40&md5=82cd4e5931ef46a4809211eff45c83f6	Sim								
Chen2018292	MARVEL: Enabling mobile augmented reality with low energy and low latency	2018	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061701965&doi=10.1145%2f3274783.3274834&partnerID=40&md5=1b263ac20e6158b7775988a252b194df	Sim								
