Bibtex Key	Title	Year	URL	Descartado? (S/N) Marcar critério no parsifal	Qual o método de avaliação utilizado (simulação, modelagem analitica, aferição)?	A aplicação está disponível? Open source? Link	Quais as aplicações utilizadas nos testes realizados? Usou alguma benchmarking tool?	Quais as categorias de aplicações (ImageTools, Math, Streaming)?	Usou algum testbed? Real ou virtual?	Quais e quantos dispositivos foram utilizados?	Qual arquitetura utilizada (Single ou multi-cloudlet, Nuvem, D2D, Híbrido, Edge)?	Quais as métrica de avaliação foram adotadas (tempo, energia)?
Son2017	Offloading Method for Efficient Use of Local Computational Resources in Mobile Location-Based Services Using Clouds	2017	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016610064&doi=10.1155%2f2017%2f1856329&partnerID=40&md5=2ea3be7c5065a7c16bf316dbad47157d	Não	Aferição	Não	Número Primo, n-Queens e Número Perfeito	Math		4 Disp: 1 RaspberryPi B+, 1 PC,  1 iPad2 e 1 Galaxy Tab 10.1	Híbrido (PC como Nuvem e RaspberryPi como Edge)	Tempo de Processamento
Al-Rousan2017456	Cloudlet-Based ad hoc mobile cloud Computing: Design and evaluation	2017	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030102591&doi=10.1504%2fIJES.2017.086727&partnerID=40&md5=883a3a6651a31df310400ad99c808f0c	Não (Mas não usa apps)								
Islam201711887	Mobile Cloud-Based Big Healthcare Data Processing in Smart Cities	2017	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029371111&doi=10.1109%2fACCESS.2017.2707439&partnerID=40&md5=7697b6ef6a5182053ba0974932e83007	Não (Mas não usa apps)								
Raei201734	Modeling and performance analysis of cloudlet in Mobile Cloud Computing	2017	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85002968181&doi=10.1016%2fj.peva.2016.10.005&partnerID=40&md5=f0e59103f517e5191e9401cf67ab71eb	Não (Mas não usa apps)			1) With the help of real implementations [8,12,15,16,19,20], a wide  range of values was assumed for parameters to model a large  variety of cloudlets (...)					
Zhou20163256	Cuckoo: flexible compute-intensive task offloading in mobile cloud computing	2016	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996572375&doi=10.1002%2fwcm.2757&partnerID=40&md5=009dbe4ea2383a00fc31827d8466bed4	Não	Aferição/Simulação	Não	1) Multiplicação de Matrizes	Math		3 Disp: 1 PC (Thinkpad T440s),  1 Samsung S2 e 1 LG G3	Edge	Tempo de Processamento, Consumo de Energia,  Reescheduling e Vazão de Tarefas
Plachy2016	Dynamic resource allocation exploiting mobility prediction in mobile edge computing	2016	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010046935&doi=10.1109%2fPIMRC.2016.7794955&partnerID=40&md5=73577e23f2f8cccf12f1c9d3aa0606ca	Sim (Conference paper)								
Orsini2016216	Cloud aware: A context-Adaptive middleware for mobile edge and cloud computing applications	2016	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011016282&doi=10.1109%2fFAS-W.2016.54&partnerID=40&md5=667d34fa33a12d39b5d0582e5483ff0d	Sim (Workshop)*								
Schäfer201625	Writing a distributed computing application in 7 minutes with Tasklets	2016	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009895666&doi=10.1145%2f3007592.3007606&partnerID=40&md5=737761f5b57021fbc902481fd0315e33	Sim (Poster)								
Chen201664	Multi-user Mobile Cloud Offloading Game with Computing Access Point	2016	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010637331&doi=10.1109%2fCloudNet.2016.52&partnerID=40&md5=0f15d66cf74f7f3058d695f935743a1f	Não (Mas não usa apps)								
Liu201693	Poster Abstract: A multi-user computation offloading algorithm based on game theory in mobile cloud computing	2016	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010830901&doi=10.1109%2fSEC.2016.21&partnerID=40&md5=e7c50212a65bbe534125fc907a3a08e7	Sim (Poster)								
Drolia201691	Poster Abstract: Edge-caches for vision applications	2016	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010755659&doi=10.1109%2fSEC.2016.20&partnerID=40&md5=d6edd7fcca024df91b49be13793770e9	Sim (Poster)								
Mao20163590	Dynamic Computation Offloading for Mobile-Edge Computing with Energy Harvesting Devices	2016	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009814691&doi=10.1109%2fJSAC.2016.2611964&partnerID=40&md5=9dccd9e71cbb0b26c273df8fcace713a	Não (Mas não usa apps)								
Teka2016	Nearby live virtual machine migration using cloudlets and multipath TCP	2016	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000542274&doi=10.1186%2fs13677-016-0061-0&partnerID=40&md5=7a9dda72abd5feac0de3a155caa8189c	Sim (Não foca em MC)								
Dey2016153	Robotic SLAM-A review from fog computing and mobile edge computing perspective	2016	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008219301&doi=10.1145%2f3004010.3004032&partnerID=40&md5=adfe9b144a3b6f48001f50aabb24d014	Sim (Não foca em MC)								
Sthapit20161823	Offloading to neighbouring nodes in smart camera network	2016	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85005952413&doi=10.1109%2fEUSIPCO.2016.7760563&partnerID=40&md5=96e0d870b9109e326192e6d8e6d9b7c0	Sim (Short Paper)								
Gong2016160	WWOF: An energy efficient offloading framework for mobile webpage	2016	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007579716&doi=10.1145%2f2994374.2994379&partnerID=40&md5=57347cefc9ed9b9b6a71d08b941573be	Não	Aferição	Não	1) Fibonacci, 2) Multiplicação de Matrizes (Web Apps)	Math		9 Disp: 1 IBM X3400, 3 PCs (2W+1U),  1 MacBook, 1 Meizu MX3, 1 Meizu MX5,  1 iPhone 6P, 1 Odroid-U3	Edge	Tempo de Processamento e Consumo de Energia
Deng2016	A new competitive ratio for network applications with hard performance guarantees	2016	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85004000439&doi=10.1109%2fSPCOM.2016.7746696&partnerID=40&md5=2c7ae7a843148906f983d7ee8c7cf25a	Sim (Short Paper)								
